time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.9198995111e-08,3.16902492118e-07,0.0095077392422,6.28269076257,6.28314329052,0.0,4.07332916157e-06,-9.0305079071e-06,0.316890600078,-0.0348456773766,-0.00213909875783,0.0,501.19602041285583,501.0405713872832,502.1834661275601,499.64999475951095
0.12000000000000001,1.45195051303e-06,-1.93890906613e-05,0.0327620412132,6.28074541935,7.89118941249e-05,0.0,4.22502087429e-05,-0.000865576440345,0.45820585234,-0.0279705988739,0.00924516526905,0.0,448.93808010269896,449.86066904539103,450.21184191501374,450.76728221846207
0.18,-6.61374848911e-07,-0.000143426806311,0.0688299308683,6.27911898469,0.000403187002282,0.0,-0.000171387065181,-0.00348254042661,0.743914616651,-0.0254343799073,-0.00366626109201,0.0,493.2230312432852,492.2686093618827,492.30693307178166,492.4944329086749
0.23999999999999996,-1.97757945572e-05,-0.000448192137948,0.117817557285,6.27743003234,0.000799288374337,0.0,-0.000481136160418,-0.00684983954108,0.888903519749,-0.0342213461085,0.0217535879859,0.0,450.70252908075025,452.75203035689225,451.69792008850163,450.98863126273477
0.3,-6.78647651752e-05,-0.000972900063691,0.172020665532,6.2753020287,0.00180698538648,0.0,-0.00122991274358,-0.0108314306234,0.917842381766,-0.0380810453901,0.00435600750947,0.0,414.9338679299709,413.4038690800983,415.1270675430876,414.7876363648676
0.36000000000000004,-0.000177730841106,-0.00178440665946,0.228920649374,6.27327542895,0.00184930724514,0.0,-0.002447999191,-0.016424687593,0.97877137466,-0.0263218966829,-0.00783500846038,0.0,425.72510902891787,424.6808395911823,424.692703746009,425.69944046244495
0.4200000000000001,-0.000356270410904,-0.00295367819306,0.287998364113,6.27162118894,0.001145100745,0.0,-0.00345236371686,-0.0226946138295,0.990474146373,-0.0301926532426,-0.0209800503768,0.0,409.01559288189304,407.84345100870274,409.5957088702978,409.2511011967905
0.48000000000000015,-0.000581121578788,-0.00454735815934,0.349270667748,6.2699027514,6.28279873897,0.0,-0.0039102496206,-0.030597214508,1.05187909022,-0.0257049008419,-0.0366744599855,0.0,426.55108657699674,425.208662108825,424.92799808215244,425.31221400215225
0.5400000000000001,-0.000799950669527,-0.00666844905781,0.41574922879,6.26839131507,6.28126729352,0.0,-0.00319688040913,-0.0402628475265,1.16396267522,-0.0241814896167,-0.00941738630503,0.0,440.51837954879045,442.766033241489,442.0161459406511,442.14154724424196
0.6000000000000002,-0.000952624880026,-0.00937684328965,0.487349508587,6.26685276057,6.28086521136,0.0,-0.001846478704,-0.0501592611259,1.22264962555,-0.0287372822907,-0.00175806740441,0.0,424.5897938087019,425.2464320258042,425.26023452260074,424.86970025599436
0.6600000000000003,-0.00102302843447,-0.0126738787533,0.560308478037,6.26506733329,6.28037853995,0.0,-0.000479046115002,-0.0598917459881,1.20932748819,-0.0318786581394,-0.0255244327484,0.0,402.22719907672905,400.06934089270203,400.8059487484079,400.5199912751118
0.7200000000000003,-0.000972245933397,-0.0167422731853,0.640914646628,6.26319424297,6.27874240381,0.0,0.00237145452676,-0.0759559093371,1.47723228768,-0.0299291061964,-0.0310079914958,0.0,489.4159497718823,489.00758007359974,488.2223048797292,488.3674813844416
0.7800000000000004,-0.000712784519915,-0.0217969749676,0.736349025941,6.26120652302,6.27680109095,0.0,0.00650506204817,-0.0927551955515,1.70359784949,-0.0404485300435,-0.035195234257,0.0,477.8117967957596,477.49218312941144,477.67012014728925,476.8669480473257
0.8400000000000004,-0.000205321501642,-0.0277500699028,0.838184796124,6.25852626223,6.2745493673,0.0,0.0105963089085,-0.105898305909,1.6909397465,-0.0548385427514,-0.0426586612578,0.0,402.4670854347969,401.7902109081808,403.72518715786686,402.4233769464452
0.9000000000000005,0.000602079015796,-0.0345799170894,0.940819836228,6.25553913335,6.27203760102,0.0,0.0165523528688,-0.1220524246,1.73015882509,-0.0412266520579,-0.0403171251946,0.0,420.13264690770507,420.33454719720055,419.4267025340324,420.6053648272468
0.9600000000000005,0.00184803639784,-0.0425155053917,1.04875833162,6.25330356015,6.26949617387,0.0,0.0252434732275,-0.142713524316,1.86756478906,-0.0303186492309,-0.0467844270946,0.0,450.88925265218904,450.3655409072498,452.1812206443632,453.0583783812459
1.0200000000000005,0.00365284334455,-0.0516955900222,1.16356130515,6.25124572752,6.26643797158,0.0,0.0352083974517,-0.163478763215,1.95903663701,-0.0437573668364,-0.0610285591695,0.0,437.8843272449061,436.69607651866386,438.74008993597107,437.62242669740624
1.0800000000000005,0.00612589877645,-0.0621754541603,1.28412389432,6.24820989659,6.26277280131,0.0,0.0475977679464,-0.186127635015,2.0595221828,-0.0700163395398,-0.0612015927405,0.0,441.4143396330076,441.39737013832223,441.593587693334,439.42040136549707
1.1400000000000006,0.00947399838564,-0.0741779994016,1.41336220937,6.24367086922,6.2592204208,0.0,0.064413688062,-0.21444362577,2.24803930094,-0.0903593609557,-0.0554893974502,0.0,468.0503164643887,468.4923679701023,469.2259206215461,467.6397018018248
1.2000000000000006,0.0138303381636,-0.087856612208,1.55059797366,6.23795019676,6.25657188044,0.0,0.0810828132643,-0.242051620262,2.32629539238,-0.107857498956,-0.0278296585087,0.0,433.9921169871748,436.3060815692974,435.89857073325277,434.4257432531279
